"tf.blind","z.total","multiplied.mean","cond.exp"
0.0268903026616839,0.345,0.0129141110601491,0.0374322059714466
0.0471843832105136,0.939,0.0467929290334585,0.0498327252752487
0.0680133077296202,1,0.0680133077296202,0.0680133077296202
0.0318684983221492,0.535,0.0207964043235461,0.0388717837823292
0.0443777194046726,0.97,0.0442449868814275,0.0456133885375541
0.0337410492374589,0.672,0.0293222767842705,0.0436343404527835
0.0331204647585591,0.953,0.0328130147677222,0.0344312851707473
0.0385027346552535,0.921,0.0377475361819292,0.0409853813050262
0.0241821216791766,0.759,0.0204088298352089,0.0268891038672054
0.0570098247551055,0.982,0.0569279281063841,0.0579714135502893
0.0355944110746587,0.889,0.0342921356979635,0.0385738309313425
0.0606721935643387,0.983,0.0605843356514601,0.0616320810289523
0.0410038333930317,0.961,0.0407754996991832,0.0424302806443113
0.0409209053280273,0.933,0.0398775222878164,0.0427411814446049
0.0329220346633286,0.829,0.0308390159315899,0.0372002604723642
0.0482688882573365,0.71,0.0403353822876253,0.0568103975882047
0.043378521636141,0.995,0.0433646122584402,0.0435825248828544
0.0373798510301339,0.66,0.0312207859435571,0.0473042211266016
0.0441210360285575,0.973,0.0439435955771433,0.0451629964821617
0.0333166234337423,0.946,0.0330587955387594,0.0349458726625364
0.0341724263581389,0.839,0.0319903735343086,0.0381291698859458
0.0402201710272954,0.971,0.0401364119153306,0.0413351307057988
0.045688228951312,0.969,0.0455000673051151,0.0469556938133282
0.0665271881866746,1,0.0665271881866746,0.0665271881866746
0.0410538955441874,0.702,0.0336117791207906,0.0478800272375935
0.047598437959451,0.996,0.047591118227332,0.0477822472161968
0.0690706183932003,0.99,0.0690180905034214,0.0697152429327489
0.0355125218472232,0.6,0.0309739921240605,0.0516233202067674
0.0396421802568067,0.961,0.0392918229457738,0.040886392243261
0.0385876495140344,0.641,0.0307085157000908,0.0479072007801729
0.0352197581513043,0.589,0.0292829865686636,0.0497164457872048
0.0584694627849011,0.996,0.0584504060092057,0.058685146595588
0.0468431854278603,0.926,0.0462573785165301,0.0499539724800541
0.0353658080733002,0.763,0.0331610299937236,0.043461376138563
0.0936350625385718,0.999,0.0936340010721776,0.0937277288009785
0.0605633004006554,0.928,0.0601564278588463,0.0648237369168603
0.0689544549567002,1,0.0689544549567002,0.0689544549567002
0.060507600297235,0.604,0.0442464459588373,0.0732557052298631
0.0316396497064326,0.415,0.0189666896139313,0.0457028665395936
0.0348334368160726,0.801,0.0311881399354894,0.0389365042890005
0.0510992784523781,0.944,0.0506119978652901,0.0536144045183158
0.0745912609730211,1,0.0745912609730211,0.0745912609730211
0.0408969092012732,0.983,0.040844630486108,0.0415509974426328
0.0361491870480051,0.943,0.0358267993864152,0.03799236414254
0.0541284235273724,0.999,0.054125666419216,0.0541798462654815
0.0436601465399677,0.999,0.0436580165184093,0.043701718236646
0.0707557378343467,0.973,0.0703281218866411,0.0722796730592406
0.0211152684890301,0.124,0.00463987085451941,0.0374183133428985
0.0498180220481324,0.894,0.0488497812690763,0.0546418135000854
0.0429069711861586,0.939,0.0425279355377376,0.0452906661743744
0.0366888061596698,0.234,0.0134021376436419,0.0572740924941963
0.0259948090751209,0.741,0.0228635288958984,0.0308549647717928
0.0234812585272821,0.268,0.00739167351302977,0.0275808713172753
0.0379546645931396,0.983,0.0378569001813011,0.0385115973360133
0.0266771911649514,0.474,0.015307526065467,0.0322943587879051
0.0317508635380442,0.135,0.00433823765379962,0.032135093731849
0.0356952595368283,0.968,0.0354697678601896,0.0366423221696174
0.0300314337626681,0.692,0.024527852490229,0.0354448735407933
0.037341191172769,0.841,0.035520183734799,0.0422356524789524
0.0266985899750532,0.879,0.0258909398238576,0.0294549941113283
0.0323332943131923,0.829,0.0308506017769256,0.0372142361603445
