"tf.blind","z.total","multiplied.mean","cond.exp"
0.102718181510053,1,0.102718181510053,0.102718181510053
0.0581579214500008,0.993,0.0581173799972279,0.0585270694836132
0.0765513681934288,0.999,0.0765485289477744,0.0766251541018762
0.0866248052765236,1,0.0866248052765236,0.0866248052765236
0.131645099446665,1,0.131645099446665,0.131645099446665
0.0631199842930751,1,0.0631199842930751,0.0631199842930751
0.0495562424426914,0.926,0.0489207596934119,0.0528301940533606
0.12372245601767,1,0.12372245601767,0.12372245601767
0.11769237938535,1,0.11769237938535,0.11769237938535
0.0783336944286846,0.999,0.0783328597651576,0.0784112710361938
0.0811379491290403,1,0.0811379491290403,0.0811379491290403
0.100859735586335,1,0.100859735586335,0.100859735586335
0.0688556560730581,0.999,0.0688522916033079,0.068921212816124
0.0532272304712072,0.223,0.0172983131467488,0.0775709109719677
0.0320203062545583,0.059,0.00373922058900073,0.0633766201525547
0.0772327883443665,0.97,0.076944303251987,0.0793240239711207
0.0358157405907972,0.988,0.0357872854425884,0.0362219488285307
0.0802222336172164,1,0.0802222336172164,0.0802222336172164
0.0770244152174859,1,0.0770244152174859,0.0770244152174859
0.0912757271708744,1,0.0912757271708744,0.0912757271708744
0.0839017804048203,0.999,0.0839008483684405,0.0839848332016421
0.0492401924539478,0.723,0.0459037063919033,0.0634906035849285
0.0522044338491163,0.76,0.0462124622913337,0.0608058714359654
0.0703192798193031,1,0.0703192798193031,0.0703192798193031
0.0654413528316381,0.906,0.0644279587587625,0.0711125372613273
0.0798892227971361,0.993,0.0798521461216794,0.0804150514820538
0.0460912672049049,0.9,0.0452460056780472,0.0502733396422747
0.0839693844145999,1,0.0839693844145999,0.0839693844145999
0.0520749362115495,0.986,0.0520338114016285,0.0527726281963778
0.0618981845902179,0.996,0.0618895792002806,0.0621381317271894
0.0710252710654785,0.968,0.0708011843628858,0.0731417193831465
0.0427724138081099,0.988,0.0427285536024078,0.0432475238890767
0.114847711469821,1,0.114847711469821,0.114847711469821
0.0573256521244586,0.966,0.0570601530135772,0.0590684813805147
0.0780338753052985,0.994,0.078024084123649,0.0784950544503511
0.0594381735000339,0.991,0.0593964596397743,0.0599358825830215
